location,badger,bat,bird,bobcat,cat,cow,coyote,deer,dog,fox,insect,lizard,mountain_lion,opossum,pig,rabbit,raccoon,rodent,skunk,squirrel
0,6,0,11,124,0,0,316,0,196,1,0,0,0,0,0,2,4,0,51,5
1,0,0,33,0,0,0,143,0,0,59,0,0,0,0,0,0,0,0,3,0
10,0,0,61,34,0,0,0,96,0,53,0,17,0,0,0,3,0,414,0,0
100,4,0,70,55,219,0,12,0,495,0,0,0,0,963,0,92,2604,9,0,324
101,3,0,6,99,0,0,12,33,0,75,0,0,9,0,0,0,0,3,0,0
102,0,0,6,0,0,0,6,299,0,40,0,19,0,0,0,0,0,0,48,0
103,0,0,6,172,9,0,398,0,0,0,0,0,0,536,0,160,199,0,0,267
104,0,0,11,0,0,0,79,28,0,33,0,0,0,0,0,137,6,0,24,0
105,0,0,3,130,652,0,0,0,15,0,0,0,0,1182,0,47,38,0,0,28
106,0,0,108,72,0,0,1218,117,14,0,0,0,0,0,0,222,3,0,21,41
107,0,0,3,71,0,0,959,0,0,0,0,0,0,33,0,0,36,0,0,45
108,3,0,143,32,0,0,24,0,0,0,0,0,0,383,0,30,137,3,11,214
109,0,0,0,0,0,0,0,71,0,20,0,0,0,0,0,0,0,0,3,0
11,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0
110,0,0,3,0,0,0,0,0,0,79,0,0,3,0,0,55,0,0,0,0
111,0,0,141,0,0,0,75,8,0,29,0,0,0,0,0,0,0,3,12,0
112,0,0,8,48,0,0,24,0,0,0,0,0,0,534,0,441,678,0,3,118
113,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,21,114,0,2051,1858,288,92,0,0,7,0,0,0,705,24,71,7,29
115,0,0,91,91,0,0,532,0,69,0,0,0,0,153,0,1343,227,9,30,175
116,0,0,24,0,0,0,0,0,0,0,0,23,0,0,0,87,0,112,0,0
117,0,0,36,0,0,42,484,397,0,0,0,0,0,0,0,0,0,0,41,0
118,0,0,25,1,0,0,7,0,8,0,0,0,0,0,0,1,0,4,2,20
119,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,3,9,0,0,47,0,0,0,0,0,0,0,0,66,0,0,0,0
120,4,0,20,219,0,0,937,53,186,7,0,0,1,0,0,9,3,0,120,32
