epoch,badger,bird,bobcat,cat,cow,coyote,deer,dog,fox,insect,lizard,mountain_lion,opossum,pig,rabbit,raccoon,rodent,skunk,squirrel
1,0.125,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
2,0.125,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.125,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855
4,0.125,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857
5,0.125,0.0,0.1111111111111111,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857
6,0.125,0.0,0.1111111111111111,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.7142857142857143
7,0.125,0.0,0.1111111111111111,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.7142857142857143
8,0.125,0.0,0.1111111111111111,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.7142857142857143
9,0.25,0.0,0.1111111111111111,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.2,0.5,0.7142857142857143
10,0.25,0.0,0.1111111111111111,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.2,0.6666666666666666,0.7142857142857143
11,0.25,0.0,0.1111111111111111,0.0,0.5,0.0,0.125,0.0,0.3333333333333333,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.2,0.6666666666666666,0.7142857142857143
12,0.375,0.0,0.1111111111111111,0.0,0.5,0.0,0.125,0.2222222222222222,0.3333333333333333,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.2,0.6666666666666666,0.8571428571428571
13,0.375,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.5,0.2222222222222222,0.3333333333333333,0.5,1.0,0.0,0.75,0.0,0.0,0.0,0.2,0.8333333333333334,0.8571428571428571
14,0.375,0.0,0.2222222222222222,0.0,0.5,0.0,0.5,0.2222222222222222,0.3333333333333333,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.4,0.6666666666666666,0.8571428571428571
