epoch,badger,bird,bobcat,cat,cow,coyote,deer,dog,fox,insect,lizard,mountain_lion,opossum,pig,rabbit,raccoon,rodent,skunk,squirrel
1,0.25,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.375,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
4,0.375,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
5,0.375,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.16666666666666666,0.0
6,0.25,0.0,0.0,0.0,0.6666666666666666,0.0,0.375,0.0,0.5,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.2,0.16666666666666666,0.7142857142857143
7,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.2,0.5,0.8571428571428571
8,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.2,0.3333333333333333,0.8571428571428571
9,0.5,0.0,0.1111111111111111,0.0,0.5,0.4,0.625,0.2222222222222222,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.6,0.8333333333333334,0.8571428571428571
10,0.375,0.0,0.1111111111111111,0.0,0.6666666666666666,0.2,0.625,0.7777777777777778,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.8333333333333334,0.8571428571428571
11,0.25,0.0,0.2222222222222222,0.0,0.5,0.2,0.75,0.6666666666666666,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.6,0.8333333333333334,0.7142857142857143
12,0.25,0.0,0.2222222222222222,0.0,0.3333333333333333,0.4,0.375,0.7777777777777778,0.5,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.2,0.6666666666666666,0.7142857142857143
13,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6,0.875,0.7777777777777778,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.25,0.6,0.8333333333333334,0.7142857142857143
14,0.375,0.0,0.3333333333333333,0.0,0.6666666666666666,0.4,0.75,0.5555555555555556,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.4,0.8333333333333334,0.8571428571428571
15,0.5,0.0,0.3333333333333333,0.0,0.6666666666666666,0.4,0.75,0.5555555555555556,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.25,0.8,0.8333333333333334,0.5714285714285714
16,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.8,0.75,0.5555555555555556,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.25,0.8,0.8333333333333334,0.7142857142857143
17,0.375,0.0,0.3333333333333333,0.0,0.5,0.6,0.75,0.6666666666666666,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.2,0.8333333333333334,0.7142857142857143
18,0.5,0.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.6,0.75,0.5555555555555556,0.0,0.5,0.0,0.0,0.75,0.0,0.0,0.25,0.4,0.8333333333333334,0.5714285714285714
19,0.25,0.0,0.3333333333333333,0.0,0.6666666666666666,0.8,0.625,0.5555555555555556,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.25,1.0,0.8333333333333334,0.5714285714285714
