epoch,badger,bird,bobcat,cat,cow,coyote,deer,dog,fox,insect,lizard,mountain_lion,opossum,pig,rabbit,raccoon,rodent,skunk,squirrel
1,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.25,0.8,0.0,0.0
2,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.4444444444444444,0.5,0.5,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.16666666666666666,0.7142857142857143
3,0.125,1.0,0.2222222222222222,0.0,0.5,0.0,0.125,0.4444444444444444,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.8333333333333334,0.42857142857142855
4,0.125,0.5,0.2222222222222222,0.0,0.5,0.0,0.25,0.6666666666666666,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5714285714285714
5,0.375,0.5,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.2,0.625,0.4444444444444444,0.3333333333333333,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.4,1.0,1.0
6,0.25,1.0,0.2222222222222222,0.5,0.6666666666666666,0.2,0.25,0.5555555555555556,0.3333333333333333,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.8333333333333334,0.42857142857142855
7,0.25,0.5,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.6,0.5,0.8888888888888888,0.3333333333333333,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.6,0.8333333333333334,0.7142857142857143
8,0.25,0.0,0.4444444444444444,0.6666666666666666,0.16666666666666666,0.6,0.625,0.3333333333333333,0.16666666666666666,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.8333333333333334,0.5714285714285714
9,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.5555555555555556,0.8333333333333334,0.5,1.0,0.0,0.0,0.0,0.0,0.25,0.2,1.0,0.2857142857142857
10,0.625,0.5,0.5555555555555556,0.16666666666666666,0.0,0.0,0.25,0.5555555555555556,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.8,0.8333333333333334,0.2857142857142857
11,0.375,0.5,0.4444444444444444,0.16666666666666666,0.16666666666666666,0.4,0.75,0.8888888888888888,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.25,1.0,0.8333333333333334,0.0
12,0.375,0.0,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.4,0.75,0.7777777777777778,0.3333333333333333,0.5,0.0,0.0,0.75,0.0,0.0,0.5,1.0,0.8333333333333334,0.14285714285714285
13,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.8,0.5,0.7777777777777778,0.3333333333333333,0.5,0.0,0.0,0.25,0.0,0.0,0.25,1.0,0.8333333333333334,0.5714285714285714
14,0.5,0.5,0.5555555555555556,0.16666666666666666,0.6666666666666666,0.6,0.75,0.2222222222222222,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8333333333333334,0.7142857142857143
15,0.375,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.4,0.75,0.8888888888888888,0.3333333333333333,0.5,0.0,0.0,0.75,0.0,0.0,0.25,1.0,1.0,0.7142857142857143
